                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2702,                 5.2657,                 1.7737,                0.00798,                0.21434,                0.01803,                0.00992,                 2.2285,                 4.8806,                 2.0009,                 0.0946,                 0.0006,                 0.0006
                      1,                 2.2329,                 5.0616,                 1.7627,                0.30777,                0.03955,                0.04604,                0.02183,                 2.2042,                 4.0301,                 1.9734,               0.088283,              0.0012828,              0.0012828
                      2,                 2.1366,                 4.1778,                 1.6735,                0.72087,                0.09584,                0.09885,                0.04877,                 2.2055,                 3.3848,                 1.9619,               0.081947,              0.0019472,              0.0019472
                      3,                 2.1545,                 3.5907,                 1.6775,                0.70453,                0.21611,                0.21672,                0.10618,                 2.1782,                 3.1162,                 1.8698,               0.075593,              0.0025931,              0.0025931
                      4,                 2.0806,                 2.9383,                 1.6082,                0.62184,                0.26462,                0.26305,                0.13261,                  2.137,                 3.0589,                 1.8014,                0.06922,              0.0032205,              0.0032205
                      5,                 2.0298,                 2.5254,                 1.5813,                0.54602,                0.34631,                0.33031,                0.17029,                 2.0873,                 3.2551,                 1.7731,               0.062829,              0.0038294,              0.0038294
                      6,                 1.9513,                 2.3282,                 1.5396,                0.40511,                0.44799,                0.39938,                0.19556,                  2.084,                 3.0022,                 1.7772,                0.05642,              0.0044198,              0.0044198
                      7,                 1.8934,                 2.1495,                 1.5148,                0.36715,                 0.4403,                0.38418,                0.18911,                 2.0206,                 2.4955,                 1.7515,               0.049992,              0.0049918,              0.0049918
                      8,                 1.8801,                 2.0609,                 1.4857,                0.47722,                0.41581,                0.41756,                0.21916,                 2.0047,                 2.3555,                 1.7603,               0.043545,              0.0055453,              0.0055453
                      9,                 1.8514,                 1.8916,                 1.4577,                0.43016,                 0.4329,                0.40022,                0.20298,                 2.0095,                 2.3332,                 1.7438,                0.03708,              0.0060803,              0.0060803
                     10,                 1.9055,                 1.9379,                 1.4728,                0.33452,                0.36464,                 0.3008,                0.14927,                  2.045,                 2.5657,                  1.755,               0.030597,              0.0065968,              0.0065968
                     11,                  1.852,                 1.9334,                 1.4666,                0.32738,                0.32435,                0.26626,                0.12755,                 2.1618,                 2.7592,                 1.8153,               0.024095,              0.0070948,              0.0070948
                     12,                 1.8924,                  1.879,                 1.4525,                0.38257,                0.28073,                0.26395,                0.13756,                 2.1252,                 2.7885,                  1.855,               0.017574,              0.0075744,              0.0075744
                     13,                 1.8798,                 1.8944,                 1.4695,                0.44128,                0.17057,                0.16071,                 0.0878,                 2.4339,                 4.2944,                 1.9672,               0.011035,              0.0080355,              0.0080355
                     14,                 1.9555,                 1.9551,                 1.5302,                0.41143,                0.17638,                 0.1734,                 0.0803,                  2.539,                 3.3958,                 2.0433,               0.008152,               0.008152,               0.008152
                     15,                  1.922,                 2.0947,                 1.5194,                0.40502,                0.22879,                0.14957,                0.07174,                 2.3798,                 3.1475,                 1.9876,               0.008152,               0.008152,               0.008152
                     16,                 1.9723,                 2.1003,                 1.5214,                0.38879,                0.18604,                0.13909,                0.06439,                 2.3334,                 3.5899,                 1.9366,                0.00802,                0.00802,                0.00802
                     17,                 1.8949,                 2.0053,                 1.4972,                0.25796,                0.22789,                0.18873,                0.09388,                 2.3909,                 3.0336,                 2.1049,               0.007888,               0.007888,               0.007888
                     18,                 1.9471,                 2.0666,                 1.5281,                0.26876,                0.20319,                0.13496,                0.06154,                 2.4133,                  3.438,                 2.1404,               0.007756,               0.007756,               0.007756
                     19,                 1.9591,                 2.0131,                 1.5427,                0.33017,                0.13905,                 0.1451,                0.06247,                 2.3333,                 3.5639,                  2.073,               0.007624,               0.007624,               0.007624
                     20,                 1.9454,                 1.9977,                 1.5137,                0.28587,                 0.2041,                0.14323,                0.05582,                 2.4006,                 3.5284,                 2.1331,               0.007492,               0.007492,               0.007492
                     21,                 1.9045,                 1.9455,                  1.497,                0.51416,                0.16465,                0.19987,                0.08071,                 2.3746,                 3.2464,                 2.1429,                0.00736,                0.00736,                0.00736
                     22,                 1.9285,                 1.9623,                 1.5394,                0.37664,                0.26392,                 0.2315,                0.11399,                  2.309,                 2.7836,                 2.0571,               0.007228,               0.007228,               0.007228
                     23,                 1.8953,                 1.9393,                 1.5322,                0.39448,                0.22387,                 0.1976,                0.08188,                 2.3367,                 2.9396,                 2.0547,               0.007096,               0.007096,               0.007096
                     24,                 1.9296,                 1.9065,                 1.4883,                0.35212,                0.24642,                 0.1992,                0.08357,                 2.3471,                 3.1528,                 2.0569,               0.006964,               0.006964,               0.006964
                     25,                 1.8876,                 1.8439,                 1.4961,                0.57055,                0.21884,                0.22598,                0.09593,                 2.2925,                 2.7491,                 2.0643,               0.006832,               0.006832,               0.006832
                     26,                 1.9209,                 1.8612,                 1.4977,                0.43757,                0.21527,                0.20097,                0.09036,                 2.4357,                 2.8461,                 2.1969,                 0.0067,                 0.0067,                 0.0067
                     27,                 1.8363,                 1.7743,                 1.4565,                0.37234,                0.20614,                0.20133,                0.09937,                  2.448,                 2.7409,                 2.1667,               0.006568,               0.006568,               0.006568
                     28,                 1.8853,                 1.8138,                 1.5009,                0.43511,                0.23427,                0.24006,                0.11962,                 2.3259,                 2.7404,                 2.0704,               0.006436,               0.006436,               0.006436
                     29,                 1.8396,                 1.7909,                 1.4583,                0.50984,                0.23739,                0.25586,                0.11967,                 2.2524,                 2.6488,                 1.9425,               0.006304,               0.006304,               0.006304
                     30,                 1.8687,                 1.7652,                 1.4771,                0.28177,                0.28574,                0.24848,                0.10784,                  2.264,                 2.7187,                 1.9673,               0.006172,               0.006172,               0.006172
                     31,                 1.8104,                 1.7072,                 1.4548,                0.41017,                0.24877,                 0.2499,                0.11518,                 2.1961,                 2.5562,                 1.9185,                0.00604,                0.00604,                0.00604
                     32,                 1.7656,                 1.6972,                 1.4332,                0.31339,                0.24591,                 0.2215,                0.10838,                 2.2377,                 2.7026,                  1.919,               0.005908,               0.005908,               0.005908
                     33,                 1.7791,                 1.6961,                 1.4335,                0.57357,                0.24816,                0.32166,                0.14506,                 2.1838,                  2.436,                  1.923,               0.005776,               0.005776,               0.005776
                     34,                 1.7548,                 1.6328,                 1.4342,                0.37167,                0.27019,                0.25295,                0.11979,                 2.2221,                 2.6149,                 1.9266,               0.005644,               0.005644,               0.005644
                     35,                  1.786,                 1.6235,                 1.4188,                0.36199,                0.32912,                0.31287,                 0.1491,                 2.2126,                  2.619,                 1.9352,               0.005512,               0.005512,               0.005512
                     36,                 1.7269,                 1.5496,                 1.3842,                0.32242,                0.28222,                0.25668,                0.12979,                 2.2296,                 2.5865,                 1.9776,                0.00538,                0.00538,                0.00538
                     37,                 1.7423,                 1.5375,                 1.3909,                0.44842,                0.25627,                0.26548,                0.11708,                 2.3167,                 2.6654,                 2.0312,               0.005248,               0.005248,               0.005248
                     38,                 1.7368,                 1.5398,                  1.363,                0.54036,                0.27359,                0.33253,                0.14845,                 2.1797,                 2.4338,                  1.902,               0.005116,               0.005116,               0.005116
                     39,                 1.7267,                 1.5537,                 1.3954,                0.50131,                 0.2954,                0.31558,                0.13449,                 2.2065,                 2.5969,                 1.9372,               0.004984,               0.004984,               0.004984
                     40,                 1.6939,                 1.4966,                 1.3776,                0.40395,                0.37402,                0.36173,                0.16048,                 2.1978,                 2.3376,                 1.9054,               0.004852,               0.004852,               0.004852
                     41,                 1.6881,                 1.4425,                 1.3666,                0.48932,                0.37143,                0.36712,                0.16228,                 2.2212,                 2.3039,                 1.8992,                0.00472,                0.00472,                0.00472
                     42,                 1.6476,                 1.4334,                 1.3624,                0.56734,                0.33531,                0.38494,                0.17814,                 2.1689,                  2.119,                 1.8379,               0.004588,               0.004588,               0.004588
                     43,                 1.6371,                 1.3888,                   1.34,                0.52976,                0.34167,                0.37732,                 0.1726,                 2.2001,                 2.1369,                 1.9031,               0.004456,               0.004456,               0.004456
                     44,                 1.6525,                 1.3544,                 1.3342,                0.58134,                0.36753,                0.37588,                0.17572,                 2.1628,                 2.2036,                 1.8875,               0.004324,               0.004324,               0.004324
                     45,                 1.5957,                 1.3247,                 1.3129,                0.55597,                0.32227,                0.35669,                0.17683,                 2.1032,                 2.1604,                  1.849,               0.004192,               0.004192,               0.004192
                     46,                 1.6318,                 1.3962,                 1.3463,                 0.6177,                 0.2822,                0.32962,                0.16659,                 2.1303,                 2.1261,                 1.8695,                0.00406,                0.00406,                0.00406
                     47,                 1.5785,                 1.3196,                 1.2923,                0.50272,                0.34032,                0.35247,                0.16887,                 2.1631,                 2.1712,                 1.9016,               0.003928,               0.003928,               0.003928
                     48,                  1.553,                 1.2906,                 1.2837,                0.41828,                 0.3717,                0.33128,                 0.1566,                 2.1479,                 2.1451,                 1.8628,               0.003796,               0.003796,               0.003796
                     49,                  1.561,                  1.249,                 1.2864,                0.43904,                 0.3729,                0.34989,                0.17379,                 2.1181,                 2.1364,                 1.8581,               0.003664,               0.003664,               0.003664
                     50,                 1.5345,                 1.2629,                 1.2882,                0.60418,                0.30703,                0.36125,                0.18001,                 2.1435,                 2.1661,                  1.891,               0.003532,               0.003532,               0.003532
                     51,                 1.5475,                 1.2733,                 1.3122,                0.55037,                0.33174,                0.34376,                0.16698,                 2.1405,                 2.2118,                   1.86,                 0.0034,                 0.0034,                 0.0034
                     52,                 1.5242,                 1.2207,                 1.2974,                0.42171,                0.36919,                0.35624,                 0.1787,                 2.1103,                 2.2287,                 1.8079,               0.003268,               0.003268,               0.003268
                     53,                 1.5357,                 1.2048,                 1.2726,                0.57438,                0.31889,                0.37235,                0.18137,                  2.119,                 2.1185,                 1.8104,               0.003136,               0.003136,               0.003136
                     54,                 1.4694,                 1.1782,                 1.2497,                0.43807,                0.35843,                0.36067,                0.16619,                 2.1172,                 2.2156,                 1.8079,               0.003004,               0.003004,               0.003004
                     55,                 1.4665,                 1.1317,                 1.2478,                0.58561,                0.36529,                0.40808,                0.18299,                 2.1269,                 2.1145,                 1.8617,               0.002872,               0.002872,               0.002872
                     56,                 1.5027,                 1.1787,                 1.2687,                0.58727,                0.37084,                0.41828,                0.18877,                 2.1266,                 2.1169,                 1.8629,                0.00274,                0.00274,                0.00274
                     57,                 1.4715,                 1.1303,                 1.2573,                0.51863,                0.38934,                0.41882,                0.18958,                 2.1451,                 2.1768,                 1.8606,               0.002608,               0.002608,               0.002608
                     58,                 1.4546,                 1.1451,                 1.2585,                 0.5917,                0.35527,                0.39463,                0.19066,                 2.1466,                 2.2541,                 1.8695,               0.002476,               0.002476,               0.002476
